,Year,State,STATE_NAME,REGION_NAME,OFFENSE_SUBCAT_NAME,ACTUAL_COUNT,UNFOUNDED_COUNT,CLEARED_COUNT,JUVENILE_CLEARED_COUNT,ht_happ
189,2017,MO,Missouri,Midwest,Commercial Sex Acts,3,0,2,0,1
190,2018,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
191,2018,TX,Texas,South,Commercial Sex Acts,5,0,0,0,1
192,2017,DE,Delaware,South,Commercial Sex Acts,3,0,3,0,1
193,2018,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
194,2017,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,0,0,1
195,2017,MN,Minnesota,Midwest,Commercial Sex Acts,2,0,2,0,1
196,2017,IL,Illinois,Midwest,Commercial Sex Acts,2,0,0,0,1
197,2018,MA,Massachusetts,Northeast,Commercial Sex Acts,1,0,0,0,1
198,2017,MN,Minnesota,Midwest,Commercial Sex Acts,2,0,1,0,1
199,2017,TX,Texas,South,Commercial Sex Acts,9,0,6,0,1
200,2017,DE,Delaware,South,Commercial Sex Acts,1,0,1,0,1
201,2017,MN,Minnesota,Midwest,Commercial Sex Acts,10,0,10,0,1
202,2017,MN,Minnesota,Midwest,Commercial Sex Acts,5,0,5,0,1
203,2017,MN,Minnesota,Midwest,Commercial Sex Acts,9,0,3,0,1
204,2018,FL,Florida,South,Commercial Sex Acts,6,0,6,0,1
205,2018,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
206,2018,FL,Florida,South,Commercial Sex Acts,3,0,3,0,1
207,2017,TX,Texas,South,Commercial Sex Acts,3,0,1,0,1
208,2017,TX,Texas,South,Commercial Sex Acts,32,0,25,0,1
209,2017,TX,Texas,South,Commercial Sex Acts,2,0,0,0,1
210,2018,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
211,2017,MA,Massachusetts,Northeast,Involuntary Servitude,1,0,0,0,1
212,2019,MA,Massachusetts,Northeast,Involuntary Servitude,1,0,0,0,1
213,2018,OK,Oklahoma,South,Commercial Sex Acts,1,0,0,0,1
214,2018,OK,Oklahoma,South,Commercial Sex Acts,3,0,1,0,1
215,2018,MA,Massachusetts,Northeast,Commercial Sex Acts,1,0,0,0,1
216,2018,MA,Massachusetts,Northeast,Commercial Sex Acts,1,0,1,0,1
217,2015,TX,Texas,South,Commercial Sex Acts,3,0,0,0,1
218,2015,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
219,2015,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
220,2015,TX,Texas,South,Commercial Sex Acts,2,0,0,0,1
221,2015,TX,Texas,South,Involuntary Servitude,11,0,4,0,1
223,2015,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
235,2019,LA,Louisiana,South,Commercial Sex Acts,1,0,1,0,1
256,2019,AK,Alaska,West,Commercial Sex Acts,1,0,0,0,1
257,2019,NV,Nevada,West,Commercial Sex Acts,8,0,1,0,1
261,2019,TX,Texas,South,Commercial Sex Acts,2,0,1,0,1
262,2019,TX,Texas,South,Commercial Sex Acts,2,0,1,0,1
263,2019,TX,Texas,South,Commercial Sex Acts,3,0,1,0,1
264,2019,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
265,2019,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
266,2020,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
267,2018,MI,Michigan,Midwest,Commercial Sex Acts,2,0,0,0,1
268,2020,VT,Vermont,Northeast,Commercial Sex Acts,1,0,0,0,1
269,2020,MA,Massachusetts,Northeast,Commercial Sex Acts,2,0,0,0,1
270,2020,MA,Massachusetts,Northeast,Commercial Sex Acts,1,0,0,0,1
271,2020,MA,Massachusetts,Northeast,Involuntary Servitude,1,0,0,0,1
272,2019,VA,Virginia,South,Commercial Sex Acts,1,0,0,0,1
273,2020,VA,Virginia,South,Commercial Sex Acts,1,0,1,0,1
274,2020,VA,Virginia,South,Commercial Sex Acts,1,0,0,0,1
275,2020,VA,Virginia,South,Commercial Sex Acts,1,0,0,0,1
276,2020,FL,Florida,South,Commercial Sex Acts,4,2,0,0,1
277,2020,FL,Florida,South,Commercial Sex Acts,1,0,0,0,1
278,2020,FL,Florida,South,Commercial Sex Acts,2,0,0,0,1
279,2020,FL,Florida,South,Commercial Sex Acts,1,10,1,0,1
280,2020,MD,Maryland,South,Commercial Sex Acts,1,0,1,0,1
281,2019,OH,Ohio,Midwest,Commercial Sex Acts,1,0,0,0,1
282,2019,TX,Texas,South,Commercial Sex Acts,3,0,1,0,1
283,2017,OR,Oregon,West,Commercial Sex Acts,2,0,0,0,1
284,2017,OR,Oregon,West,Commercial Sex Acts,2,0,0,0,1
285,2017,OR,Oregon,West,Involuntary Servitude,1,0,0,0,1
286,2017,OR,Oregon,West,Commercial Sex Acts,2,0,0,0,1
287,2017,OR,Oregon,West,Commercial Sex Acts,1,0,0,0,1
288,2018,OR,Oregon,West,Commercial Sex Acts,3,0,1,0,1
289,2018,OR,Oregon,West,Commercial Sex Acts,4,0,0,0,1
290,2018,OR,Oregon,West,Commercial Sex Acts,1,0,0,0,1
291,2020,HI,Hawaii,West,Commercial Sex Acts,1,0,0,0,1
292,2020,HI,Hawaii,West,Commercial Sex Acts,1,0,0,0,1
293,2020,HI,Hawaii,West,Commercial Sex Acts,1,0,0,0,1
294,2020,MA,Massachusetts,Northeast,Involuntary Servitude,1,0,1,0,1
295,2020,IL,Illinois,Midwest,Commercial Sex Acts,1,0,0,0,1
296,2020,IL,Illinois,Midwest,Commercial Sex Acts,1,0,0,0,1
297,2018,WA,Washington,West,Commercial Sex Acts,2,0,2,0,1
298,2018,WA,Washington,West,Commercial Sex Acts,1,0,1,0,1
299,2017,UT,Utah,West,Commercial Sex Acts,12,0,0,0,1
300,2018,UT,Utah,West,Commercial Sex Acts,2,0,0,0,1
301,2018,UT,Utah,West,Commercial Sex Acts,4,0,4,0,1
302,2018,UT,Utah,West,Commercial Sex Acts,2,0,0,0,1
303,2018,UT,Utah,West,Commercial Sex Acts,3,0,0,0,1
304,2018,UT,Utah,West,Commercial Sex Acts,2,0,1,0,1
305,2019,UT,Utah,West,Commercial Sex Acts,4,0,4,0,1
306,2019,UT,Utah,West,Commercial Sex Acts,4,0,2,0,1
307,2019,UT,Utah,West,Commercial Sex Acts,7,0,8,0,1
308,2019,UT,Utah,West,Commercial Sex Acts,3,0,2,0,1
309,2019,UT,Utah,West,Commercial Sex Acts,8,0,6,0,1
310,2020,UT,Utah,West,Commercial Sex Acts,6,0,3,0,1
311,2020,NC,North Carolina,South,Involuntary Servitude,1,0,1,0,1
312,2018,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
313,2018,TX,Texas,South,Commercial Sex Acts,1,0,1,0,1
314,2018,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
315,2018,TX,Texas,South,Commercial Sex Acts,2,0,0,0,1
316,2019,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
317,2020,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,1,0,1
318,2018,OH,Ohio,Midwest,Involuntary Servitude,1,0,0,0,1
319,2020,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,0,0,1
320,2019,MN,Minnesota,Midwest,Involuntary Servitude,2,0,0,0,1
321,2019,MN,Minnesota,Midwest,Involuntary Servitude,2,0,0,0,1
322,2019,MN,Minnesota,Midwest,Involuntary Servitude,1,0,0,0,1
323,2019,MN,Minnesota,Midwest,Commercial Sex Acts,2,0,0,0,1
324,2020,HI,Hawaii,West,Commercial Sex Acts,2,0,1,0,1
325,2020,OH,Ohio,Midwest,Commercial Sex Acts,1,0,0,0,1
326,2020,WI,Wisconsin,Midwest,Commercial Sex Acts,1,0,0,0,1
327,2020,WI,Wisconsin,Midwest,Commercial Sex Acts,2,0,0,0,1
328,2020,UT,Utah,West,Commercial Sex Acts,2,0,2,0,1
329,2020,IL,Illinois,Midwest,Commercial Sex Acts,6,0,0,0,1
330,2020,WI,Wisconsin,Midwest,Commercial Sex Acts,1,0,0,0,1
331,2020,WI,Wisconsin,Midwest,Involuntary Servitude,2,0,1,0,1
332,2018,NM,New Mexico,West,Commercial Sex Acts,2,0,0,0,1
333,2018,NM,New Mexico,West,Commercial Sex Acts,2,0,0,0,1
334,2019,TX,Texas,South,Involuntary Servitude,1,0,1,0,1
335,2019,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
336,2020,TX,Texas,South,Involuntary Servitude,1,0,1,0,1
337,2020,WI,Wisconsin,Midwest,Commercial Sex Acts,1,0,1,0,1
338,2020,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,0,0,1
339,2020,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,1,0,1
340,2020,WA,Washington,West,Involuntary Servitude,1,0,0,0,1
341,2020,WA,Washington,West,Commercial Sex Acts,1,0,0,0,1
342,2017,KY,Kentucky,South,Involuntary Servitude,1,0,0,0,1
343,2020,KY,Kentucky,South,Commercial Sex Acts,1,0,0,0,1
344,2020,IN,Indiana,Midwest,Involuntary Servitude,1,0,0,0,1
345,2019,NC,North Carolina,South,Involuntary Servitude,1,0,0,0,1
346,2019,NC,North Carolina,South,Commercial Sex Acts,2,0,0,0,1
347,2020,MO,Missouri,Midwest,Commercial Sex Acts,1,0,0,0,1
348,2020,MO,Missouri,Midwest,Commercial Sex Acts,1,0,0,0,1
349,2020,MO,Missouri,Midwest,Commercial Sex Acts,1,0,0,0,1
350,2018,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,0,0,1
351,2017,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
352,2017,SD,South Dakota,Midwest,Commercial Sex Acts,1,0,0,0,1
353,2018,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,2,0,1
354,2019,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,0,0,1
355,2017,TN,Tennessee,South,Commercial Sex Acts,1,0,0,0,1
356,2017,RI,Rhode Island,Northeast,Commercial Sex Acts,2,0,0,0,1
357,2017,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
358,2018,AZ,Arizona,West,Commercial Sex Acts,4,1,0,0,1
359,2018,HI,Hawaii,West,Commercial Sex Acts,1,0,0,0,1
360,2019,MD,Maryland,South,Commercial Sex Acts,1,0,1,0,1
361,2017,WI,Wisconsin,Midwest,Commercial Sex Acts,1,0,0,0,1
362,2017,TX,Texas,South,Commercial Sex Acts,8,0,4,0,1
364,2019,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,1,0,1
365,2020,MA,Massachusetts,Northeast,Commercial Sex Acts,2,0,2,0,1
366,2019,TX,Texas,South,Commercial Sex Acts,4,0,0,0,1
367,2017,KY,Kentucky,South,Commercial Sex Acts,1,0,0,0,1
368,2018,MN,Minnesota,Midwest,Commercial Sex Acts,2,0,1,0,1
369,2018,MN,Minnesota,Midwest,Commercial Sex Acts,2,0,0,0,1
370,2018,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,1,0,1
371,2018,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,2,0,1
372,2020,WA,Washington,West,Commercial Sex Acts,1,0,0,0,1
373,2017,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
374,2017,SC,South Carolina,South,Involuntary Servitude,1,0,0,0,1
375,2017,TX,Texas,South,Commercial Sex Acts,3,0,1,0,1
376,2017,TX,Texas,South,Commercial Sex Acts,4,0,2,0,1
377,2017,TX,Texas,South,Commercial Sex Acts,8,0,3,0,1
378,2017,TX,Texas,South,Commercial Sex Acts,2,2,0,0,1
379,2018,CT,Connecticut,Northeast,Commercial Sex Acts,1,0,0,0,1
380,2017,TN,Tennessee,South,Commercial Sex Acts,3,0,1,0,1
381,2017,TN,Tennessee,South,Commercial Sex Acts,2,0,0,0,1
382,2019,TN,Tennessee,South,Commercial Sex Acts,1,0,1,0,1
383,2020,UT,Utah,West,Involuntary Servitude,1,0,0,0,1
384,2020,UT,Utah,West,Involuntary Servitude,1,0,0,0,1
385,2017,TN,Tennessee,South,Commercial Sex Acts,1,0,1,0,1
386,2017,TX,Texas,South,Commercial Sex Acts,4,0,4,0,1
387,2017,TX,Texas,South,Involuntary Servitude,2,0,0,0,1
388,2018,WA,Washington,West,Involuntary Servitude,1,0,0,0,1
389,2019,GA,Georgia,South,Commercial Sex Acts,3,0,0,0,1
390,2015,SC,South Carolina,South,Commercial Sex Acts,2,0,0,0,1
391,2020,MI,Michigan,Midwest,Commercial Sex Acts,1,0,0,0,1
392,2019,TX,Texas,South,Commercial Sex Acts,1,0,1,0,1
393,2015,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
394,2015,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
395,2015,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
396,2015,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
397,2015,TX,Texas,South,Involuntary Servitude,10,0,4,0,1
398,2015,TX,Texas,South,Commercial Sex Acts,1,0,1,0,1
399,2015,TX,Texas,South,Involuntary Servitude,5,0,0,0,1
400,2015,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
401,2015,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
402,2015,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
403,2015,TX,Texas,South,Commercial Sex Acts,4,0,1,0,1
404,2015,TX,Texas,South,Involuntary Servitude,13,0,13,0,1
405,2015,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
406,2015,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
407,2015,TX,Texas,South,Commercial Sex Acts,3,0,0,0,1
408,2015,TX,Texas,South,Commercial Sex Acts,2,0,1,0,1
409,2015,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
410,2015,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
411,2015,TX,Texas,South,Involuntary Servitude,11,1,1,0,1
412,2015,WA,Washington,West,Commercial Sex Acts,5,0,0,0,1
413,2015,HI,Hawaii,West,Commercial Sex Acts,1,0,0,0,1
414,2015,WY,Wyoming,West,Involuntary Servitude,1,0,0,0,1
415,2015,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
416,2015,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
417,2015,TX,Texas,South,Involuntary Servitude,10,1,2,0,1
418,2015,TX,Texas,South,Involuntary Servitude,2,0,0,0,1
419,2015,IL,Illinois,Midwest,Commercial Sex Acts,2,0,0,0,1
420,2015,MD,Maryland,South,Commercial Sex Acts,1,0,1,0,1
421,2015,MD,Maryland,South,Commercial Sex Acts,4,0,4,0,1
422,2015,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,0,0,1
423,2015,MN,Minnesota,Midwest,Commercial Sex Acts,3,0,4,0,1
424,2015,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,0,0,1
425,2015,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,1,0,1
426,2015,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,1,0,1
427,2015,NV,Nevada,West,Commercial Sex Acts,15,1,4,0,1
428,2015,MN,Minnesota,Midwest,Commercial Sex Acts,6,0,6,0,1
429,2015,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,1,0,1
430,2015,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,0,0,1
431,2015,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,0,0,1
432,2015,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,1,0,1
433,2015,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,0,0,1
434,2015,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,1,0,1
435,2015,MO,Missouri,Midwest,Commercial Sex Acts,4,0,0,0,1
436,2015,NV,Nevada,West,Commercial Sex Acts,16,0,4,0,1
437,2015,TX,Texas,South,Commercial Sex Acts,3,0,1,0,1
